#FILE:                 ;000391_correction_saphire_20_1450_Air-static.cle
#FORMAT:               ;NETZSCH5                                        
#IDENTITY:             ;000391                                          
#DECIMAL:              ;POINT                                           
#SEPARATOR:            ;SEMICOLON                                       
#MTYPE:                ;DIL                                             
#MSUBTYPE:             ;                                                
#INSTRUMENT:           ;NETZSCH DIL 402 C                               
#PROJECT:              ;                                                
#DATE/TIME:            ;21.06.2021 12:37:00                             
#CORR. FILE:           ;                                                
#LABORATORY:           ;НМ                                              
#OPERATOR:             ;Орлов Н.                                        
#REMARK:               ;                                                
#SAMPLE:               ;corr_20                                         
#SAMPLE LENGTH /mm:    ;3.010                                           
#MATERIAL:             ;стандартный образец                             
#MEASMODE:             ;Standard Expansion                              
#PURGE GAS 1:          ;                                                
#FLOW RATE 1 /(ml/min):;0                                               
#CORR. CODE:           ;000                                             
#RANGE:                ;40.0/20.0(K/мин)/1450.0                         
#SEGMENT:              ;S1/1                                            

##Temp./°C;Time/min;dL/Lo
  40.49400;0.0000e+000; 0.0000e+000
  40.49600;1.0000e-002; 8.3057e-007
  40.50100;2.0000e-002; 4.1528e-008
  40.50100;3.0000e-002;-2.2425e-006
  40.50400;4.0000e-002; 1.1628e-006
  40.50700;5.0000e-002; 7.8904e-007
  40.50500;6.0000e-002; 2.1179e-006
  40.50100;7.0000e-002; 2.0349e-006
  40.50700;8.0000e-002;-3.4053e-006
  40.51100;9.0000e-002;-8.3057e-008
  40.50700;    0.10000; 2.4917e-007
  40.50500;    0.11000;-1.4535e-006
  40.51000;    0.12000;-1.3289e-006
  40.51100;    0.13000;-1.3704e-006
  40.52400;    0.14000; 7.8904e-007
  40.51700;    0.15000; 1.6196e-006
  40.51900;    0.16000;-6.2292e-007
  40.51900;    0.17000; 7.4751e-007
  40.52200;    0.18000; 9.9668e-007
  40.52500;    0.19000;-2.4917e-007
  40.53200;    0.20000; 4.9834e-007
  40.53300;    0.21000;-9.9668e-007
  40.54200;    0.22000;-6.6445e-007
  40.54600;    0.23000; 1.2458e-007
  40.54900;    0.24000; 3.7375e-007
  40.57100;    0.25000; 9.5515e-007
  40.57600;    0.26000; 1.2458e-007
  40.59000;    0.27000;-6.6445e-007
  40.60300;    0.28000;-6.2292e-007
  40.61300;    0.29000;-3.3223e-007
  40.62400;    0.30000;-1.6611e-007
  40.63800;    0.31000;-3.4884e-006
  40.65200;    0.32000;-1.6611e-007
  40.67700;    0.33000;-2.4086e-006
  40.70300;    0.34000;-2.5748e-006
  40.72400;    0.35000;-8.7209e-007
  40.74600;    0.36000; 2.4917e-007
  40.77300;    0.37000;-1.6611e-006
  40.80800;    0.38000;-1.0382e-006
  40.83800;    0.39000;-4.3189e-006
  40.87300;    0.40000;-5.2326e-006
  40.89800;    0.41000;-5.7309e-006
  40.94200;    0.42000;-5.6063e-006
  40.98400;    0.43000;-5.1080e-006
  41.02900;    0.44000;-8.7625e-006
  41.06900;    0.45000;-6.3538e-006
  41.11600;    0.46000;-4.5681e-006
  41.17200;    0.47000;-8.2226e-006
  41.22000;    0.48000;-6.9352e-006
  41.27300;    0.49000;-7.3090e-006
  41.32600;    0.50000;-7.0183e-006
  41.38300;    0.51000;-9.2193e-006
  41.44100;    0.52000;-8.8040e-006
  41.50300;    0.53000;-9.5930e-006
  41.55500;    0.54000;-1.0880e-005
  41.63000;    0.55000;-1.1752e-005
  41.68500;    0.56000;-1.0797e-005
  41.74600;    0.57000;-1.3164e-005
  41.80900;    0.58000;-1.3621e-005
  41.87500;    0.59000;-1.4244e-005
  41.93400;    0.60000;-1.7816e-005
  41.99900;    0.61000;-1.6362e-005
  42.07400;    0.62000;-1.5864e-005
  42.13500;    0.63000;-1.8937e-005
  42.19200;    0.64000;-1.8272e-005
  42.25500;    0.65000;-1.8231e-005
  42.33900;    0.66000;-2.0473e-005
  42.39000;    0.67000;-2.3131e-005
  42.46500;    0.68000;-2.2176e-005
  42.52600;    0.69000;-2.4460e-005
  42.59100;    0.70000;-2.7492e-005
  42.65800;    0.71000;-2.7907e-005
  42.72100;    0.72000;-2.9817e-005
  42.79400;    0.73000;-3.1977e-005
  42.87200;    0.74000;-3.0980e-005
  42.92700;    0.75000;-3.0482e-005
  43.00500;    0.76000;-3.1312e-005
  43.06400;    0.77000;-3.2973e-005
  43.12800;    0.78000;-3.4261e-005
  43.20100;    0.79000;-3.3762e-005
  43.26900;    0.80000;-3.5756e-005
  43.34100;    0.81000;-3.6669e-005
  43.40300;    0.82000;-3.8331e-005
  43.46900;    0.83000;-4.1238e-005
  43.53700;    0.84000;-4.2276e-005
  43.61300;    0.85000;-4.1819e-005
  43.67100;    0.86000;-4.1860e-005
  43.74400;    0.87000;-4.5889e-005
  43.80500;    0.88000;-4.6138e-005
  43.88200;    0.89000;-4.5930e-005
  43.93500;    0.90000;-4.8007e-005
  44.00700;    0.91000;-4.9169e-005
  44.06300;    0.92000;-5.0914e-005
  44.13300;    0.93000;-5.1329e-005
