#FILE:                 ;000396_correction_saphire_5_1350_Air-static.cle
#FORMAT:               ;NETZSCH5                                       
#IDENTITY:             ;000396                                         
#DECIMAL:              ;POINT                                          
#SEPARATOR:            ;SEMICOLON                                      
#MTYPE:                ;DIL                                            
#MSUBTYPE:             ;                                               
#INSTRUMENT:           ;NETZSCH DIL 402 C                              
#PROJECT:              ;                                               
#DATE/TIME:            ;23.06.2021 18:41:50                            
#CORR. FILE:           ;                                               
#LABORATORY:           ;НМ                                             
#OPERATOR:             ;Орлов Н.                                       
#REMARK:               ;                                               
#SAMPLE:               ;corr_5                                         
#SAMPLE LENGTH /mm:    ;3.010                                          
#MATERIAL:             ;стандартный образец                            
#MEASMODE:             ;Standard Expansion                             
#PURGE GAS 1:          ;                                               
#FLOW RATE 1 /(ml/min):;0                                              
#CORR. CODE:           ;000                                            
#RANGE:                ;40.0/5.0(K/мин)/1350.0                         
#SEGMENT:              ;S1/1                                           

##Temp./°C;Time/min;dL/Lo
  40.39500;0.0000e+000; 0.0000e+000
  40.39700;1.0000e-002;-1.0797e-006
  40.39400;2.0000e-002; 5.8140e-007
  40.39000;3.0000e-002;-1.2458e-007
  40.39300;4.0000e-002; 5.3987e-007
  40.39300;5.0000e-002;-1.6196e-006
  40.39600;6.0000e-002;-3.1561e-006
  40.39700;7.0000e-002;-8.3057e-007
  40.39900;8.0000e-002;-2.6578e-006
  40.39700;9.0000e-002; 1.2458e-007
  40.39600;    0.10000; 8.3057e-008
  40.39200;    0.11000;-1.3289e-006
  40.39600;    0.12000;-1.9934e-006
  40.40300;    0.13000;-2.1595e-006
  40.40700;    0.14000;-2.2841e-006
  40.41000;    0.15000;-9.1362e-007
  40.40400;    0.16000;-6.6445e-007
  40.40700;    0.17000;-4.8173e-006
  40.40000;    0.18000;-2.9070e-006
  40.40400;    0.19000;-3.8206e-006
  40.41100;    0.20000;-2.6578e-006
  40.41300;    0.21000;-9.5515e-007
  40.41000;    0.22000;-1.6196e-006
  40.40400;    0.23000;-1.5781e-006
  40.40700;    0.24000;-3.7791e-006
  40.41100;    0.25000;-2.9070e-006
  40.41000;    0.26000;-1.1628e-006
  40.41000;    0.27000;-2.5332e-006
  40.41100;    0.28000;-3.4468e-006
  40.41800;    0.29000;-1.5781e-006
  40.41500;    0.30000;-1.5781e-006
  40.41500;    0.31000;-4.1528e-006
  40.42000;    0.32000;-3.2807e-006
  40.42400;    0.33000;-4.9834e-006
  40.42500;    0.34000;-2.2841e-006
  40.42900;    0.35000;-1.6611e-007
  40.42700;    0.36000;-2.3671e-006
  40.43500;    0.37000;-1.0382e-006
  40.43800;    0.38000;-1.4535e-006
  40.43800;    0.39000;-2.4086e-006
  40.44200;    0.40000;-3.3223e-006
  40.44400;    0.41000;-2.9070e-006
  40.45400;    0.42000;-5.0664e-006
  40.45200;    0.43000;-4.6927e-006
  40.45500;    0.44000;-3.0316e-006
  40.45900;    0.45000;-2.6578e-006
  40.46200;    0.46000;-2.7824e-006
  40.47600;    0.47000;-5.3987e-006
  40.47900;    0.48000;-3.9452e-006
  40.47600;    0.49000;-4.3605e-006
  40.48000;    0.50000;-4.3605e-006
  40.49400;    0.51000;-5.6894e-006
  40.50300;    0.52000;-5.0664e-006
  40.50800;    0.53000;-6.9352e-006
  40.51500;    0.54000;-4.8173e-006
  40.51800;    0.55000;-5.8140e-006
  40.52400;    0.56000;-5.4402e-006
  40.53500;    0.57000;-5.1910e-006
  40.54300;    0.58000;-4.3605e-006
  40.54300;    0.59000;-4.9419e-006
  40.55400;    0.60000;-6.3538e-006
  40.55800;    0.61000;-7.9319e-006
  40.56700;    0.62000;-5.8970e-006
  40.57500;    0.63000;-4.7342e-006
  40.59200;    0.64000;-7.2259e-006
  40.59900;    0.65000;-9.8007e-006
  40.61000;    0.66000;-6.1462e-006
  40.62100;    0.67000;-7.3920e-006
  40.63200;    0.68000;-7.9319e-006
  40.63800;    0.69000;-1.0216e-005
  40.64300;    0.70000;-7.4336e-006
  40.65200;    0.71000;-1.0216e-005
  40.66400;    0.72000;-9.6761e-006
  40.67100;    0.73000;-8.6794e-006
  40.68800;    0.74000;-8.7625e-006
  40.70700;    0.75000;-8.9701e-006
  40.71600;    0.76000;-6.9767e-006
  40.72400;    0.77000;-1.1130e-005
  40.73900;    0.78000;-1.0174e-005
  40.75200;    0.79000;-9.8007e-006
  40.76600;    0.80000;-8.5548e-006
  40.78800;    0.81000;-9.0947e-006
  40.79600;    0.82000;-9.1777e-006
  40.80800;    0.83000;-9.3023e-006
  40.81900;    0.84000;-1.1005e-005
  40.83500;    0.85000;-1.0714e-005
  40.84500;    0.86000;-1.1254e-005
  40.86500;    0.87000;-1.3289e-005
  40.88400;    0.88000;-1.1752e-005
  40.89000;    0.89000;-1.0880e-005
  40.90600;    0.90000;-1.3995e-005
  40.92700;    0.91000;-1.3123e-005
  40.93400;    0.92000;-1.2542e-005
  40.95500;    0.93000;-1.3953e-005
  40.97300;    0.94000;-1.3912e-005
  40.98700;    0.95000;-1.3829e-005
  40.99500;    0.96000;-1.3372e-005
  41.01500;    0.97000;-1.6570e-005
  41.03100;    0.98000;-1.5116e-005
  41.05000;    0.99000;-1.3746e-005
  41.05700;    1.00000;-1.4701e-005
  41.08000;    1.01000;-1.4909e-005
  41.10800;    1.02000;-1.7691e-005
  41.11500;    1.03000;-1.8397e-005
  41.12500;    1.04000;-1.8605e-005
  41.14500;    1.05000;-1.7442e-005
  41.16500;    1.06000;-1.9643e-005
  41.18000;    1.07000;-2.0556e-005
  41.19800;    1.08000;-1.9477e-005
  41.21700;    1.09000;-2.0556e-005
  41.23300;    1.10000;-1.9477e-005
  41.24800;    1.11000;-2.1429e-005
  41.27100;    1.12000;-1.9892e-005
  41.28700;    1.13000;-2.3588e-005
  41.30100;    1.14000;-2.2882e-005
  41.31900;    1.15000;-2.1512e-005
  41.33400;    1.16000;-2.3214e-005
  41.36000;    1.17000;-2.3297e-005
  41.37600;    1.18000;-2.1885e-005
  41.39400;    1.19000;-2.2218e-005
  41.41100;    1.20000;-2.7118e-005
  41.42800;    1.21000;-2.6620e-005
  41.44600;    1.22000;-2.5208e-005
  41.46400;    1.23000;-2.5166e-005
  41.47600;    1.24000;-2.4958e-005
  41.50400;    1.25000;-2.6620e-005
  41.51800;    1.26000;-2.6246e-005
  41.54000;    1.27000;-2.6910e-005
  41.55300;    1.28000;-2.9444e-005
  41.57200;    1.29000;-2.8530e-005
  41.59000;    1.30000;-3.1686e-005
  41.61600;    1.31000;-3.1437e-005
  41.62500;    1.32000;-2.9983e-005
  41.64000;    1.33000;-2.9111e-005
  41.65800;    1.34000;-2.9776e-005
  41.67600;    1.35000;-2.9942e-005
  41.69300;    1.36000;-3.2184e-005
  41.70900;    1.37000;-3.2600e-005
  41.73000;    1.38000;-3.4884e-005
  41.74600;    1.39000;-3.3223e-005
  41.76600;    1.40000;-3.3056e-005
  41.78300;    1.41000;-3.3472e-005
  41.79800;    1.42000;-3.4344e-005
  41.81800;    1.43000;-3.4842e-005
  41.83000;    1.44000;-3.8081e-005
  41.84400;    1.45000;-3.5631e-005
  41.86600;    1.46000;-3.6545e-005
  41.88600;    1.47000;-3.8331e-005
  41.90000;    1.48000;-3.6877e-005
  41.91300;    1.49000;-3.7998e-005
  41.93400;    1.50000;-3.9659e-005
  41.95900;    1.51000;-3.9369e-005
  41.97500;    1.52000;-4.1030e-005
  41.99400;    1.53000;-4.1362e-005
  42.00700;    1.54000;-4.2234e-005
  42.03100;    1.55000;-4.1487e-005
  42.04500;    1.56000;-4.3231e-005
  42.07000;    1.57000;-4.1362e-005
  42.08000;    1.58000;-4.4767e-005
  42.09500;    1.59000;-4.4851e-005
  42.11500;    1.60000;-4.3480e-005
  42.13300;    1.61000;-4.5557e-005
  42.15800;    1.62000;-4.7757e-005
  42.17000;    1.63000;-4.6512e-005
  42.19100;    1.64000;-4.9169e-005
  42.20600;    1.65000;-4.9128e-005
  42.21900;    1.66000;-4.7799e-005
  42.24600;    1.67000;-4.9585e-005
  42.26200;    1.68000;-5.1370e-005
  42.27400;    1.69000;-5.0498e-005
  42.28900;    1.70000;-4.9834e-005
  42.32100;    1.71000;-5.2658e-005
