#FILE:                 ;000397_K06_5_1350_Air-static.sle
#FORMAT:               ;NETZSCH5                        
#IDENTITY:             ;000397                          
#DECIMAL:              ;POINT                           
#SEPARATOR:            ;SEMICOLON                       
#MTYPE:                ;DIL                             
#MSUBTYPE:             ;                                
#INSTRUMENT:           ;NETZSCH DIL 402 C               
#PROJECT:              ;                                
#DATE/TIME:            ;24.06.2021 13:17:17             
#CORR. FILE:           ;                                
#LABORATORY:           ;НМ                              
#OPERATOR:             ;Орлов Н.                        
#REMARK:               ;                                
#SAMPLE:               ;corr_5                          
#SAMPLE LENGTH /mm:    ;2.400                           
#MATERIAL:             ;стандартный образец             
#MEASMODE:             ;Standard Expansion              
#PURGE GAS 1:          ;                                
#FLOW RATE 1 /(ml/min):;0                               
#CORR. CODE:           ;000                             
#RANGE:                ;40.0/5.0(K/мин)/1350.0          
#SEGMENT:              ;S1/1                            

##Temp./°C;Time/min;dL/Lo
  40.34600;0.0000e+000; 0.0000e+000
  40.34800;1.0000e-002; 5.2083e-007
  40.34600;2.0000e-002;-5.2083e-007
  40.34400;3.0000e-002;-5.2083e-007
  40.34600;4.0000e-002; 0.0000e+000
  40.34600;5.0000e-002; 5.2083e-007
  40.35100;6.0000e-002; 1.0417e-006
  40.35400;7.0000e-002; 1.0417e-006
  40.35500;8.0000e-002; 0.0000e+000
  40.35800;9.0000e-002; 5.2083e-007
  40.36100;    0.10000;-3.1250e-006
  40.36400;    0.11000;-5.2083e-007
  40.36600;    0.12000;-1.0417e-006
  40.36100;    0.13000;-1.0417e-006
  40.37100;    0.14000;-2.0833e-006
  40.36900;    0.15000;-1.5625e-006
  40.36800;    0.16000; 0.0000e+000
  40.36800;    0.17000;-5.2083e-007
  40.37200;    0.18000; 0.0000e+000
  40.37300;    0.19000;-1.5625e-006
  40.38000;    0.20000;-1.0417e-006
  40.38200;    0.21000;-1.5625e-006
  40.38700;    0.22000;-1.5625e-006
  40.39000;    0.23000;-2.0833e-006
  40.39300;    0.24000;-2.6042e-006
  40.39900;    0.25000;-3.6458e-006
  40.39900;    0.26000;-3.6458e-006
  40.40100;    0.27000;-3.6458e-006
  40.40000;    0.28000;-1.5625e-006
  40.40600;    0.29000;-2.0833e-006
  40.40800;    0.30000;-1.5625e-006
  40.41100;    0.31000;-2.6042e-006
  40.41100;    0.32000;-5.2083e-007
  40.41100;    0.33000;-1.0417e-006
  40.41400;    0.34000;-2.0833e-006
  40.41500;    0.35000;-4.6875e-006
  40.42000;    0.36000;-1.5625e-006
  40.42400;    0.37000;-1.0417e-006
  40.42500;    0.38000;-2.0833e-006
  40.42900;    0.39000;-2.6042e-006
  40.42900;    0.40000;-3.1250e-006
  40.43600;    0.41000;-2.6042e-006
  40.44200;    0.42000;-3.1250e-006
  40.44000;    0.43000;-4.1667e-006
  40.44700;    0.44000;-3.6458e-006
  40.45200;    0.45000;-3.1250e-006
  40.46200;    0.46000;-2.0833e-006
  40.46500;    0.47000;-3.6458e-006
  40.47900;    0.48000;-4.1667e-006
  40.48500;    0.49000;-3.1250e-006
  40.49400;    0.50000;-3.1250e-006
  40.49900;    0.51000;-3.1250e-006
  40.50500;    0.52000;-5.2083e-006
  40.51100;    0.53000;-5.7292e-006
  40.51500;    0.54000;-4.1667e-006
  40.52800;    0.55000;-4.6875e-006
  40.53200;    0.56000;-4.1667e-006
  40.54300;    0.57000;-3.6458e-006
  40.55400;    0.58000;-5.2083e-006
  40.56400;    0.59000;-3.6458e-006
  40.56500;    0.60000;-3.6458e-006
  40.56900;    0.61000;-4.1667e-006
  40.58200;    0.62000;-3.6458e-006
  40.59500;    0.63000;-5.7292e-006
  40.60600;    0.64000;-5.7292e-006
  40.62100;    0.65000;-6.2500e-006
  40.63500;    0.66000;-5.7292e-006
  40.64200;    0.67000;-5.2083e-006
  40.65000;    0.68000;-5.2083e-006
  40.65400;    0.69000;-5.7292e-006
  40.67100;    0.70000;-5.7292e-006
  40.68900;    0.71000;-6.2500e-006
  40.70300;    0.72000;-6.2500e-006
  40.71300;    0.73000;-5.7292e-006
  40.71700;    0.74000;-6.2500e-006
  40.73500;    0.75000;-6.2500e-006
  40.74500;    0.76000;-9.8958e-006
  40.75700;    0.77000;-7.8125e-006
  40.77600;    0.78000;-7.8125e-006
  40.78900;    0.79000;-9.3750e-006
  40.79600;    0.80000;-8.3333e-006
  40.81200;    0.81000;-8.3333e-006
  40.83900;    0.82000;-8.3333e-006
  40.85100;    0.83000;-9.3750e-006
  40.86900;    0.84000;-9.3750e-006
  40.88100;    0.85000;-9.3750e-006
  40.89700;    0.86000;-9.8958e-006
  40.90900;    0.87000;-9.3750e-006
  40.92700;    0.88000;-1.2500e-005
  40.94500;    0.89000;-1.2500e-005
  40.96300;    0.90000;-1.3542e-005
  40.97700;    0.91000;-1.1458e-005
  40.99400;    0.92000;-1.0938e-005
  41.01800;    0.93000;-1.0938e-005
  41.03000;    0.94000;-1.2500e-005
  41.04400;    0.95000;-1.2500e-005
  41.06200;    0.96000;-1.3542e-005
  41.07700;    0.97000;-1.4583e-005
  41.09400;    0.98000;-1.4063e-005
  41.11400;    0.99000;-1.4583e-005
  41.12300;    1.00000;-1.5625e-005
  41.13900;    1.01000;-1.7188e-005
  41.15900;    1.02000;-1.9792e-005
  41.17600;    1.03000;-2.0833e-005
  41.19700;    1.04000;-1.9792e-005
  41.21800;    1.05000;-1.7708e-005
  41.23200;    1.06000;-1.6667e-005
  41.25500;    1.07000;-1.7188e-005
  41.27100;    1.08000;-1.7708e-005
  41.29400;    1.09000;-1.7708e-005
  41.30500;    1.10000;-1.7708e-005
  41.32300;    1.11000;-2.1354e-005
  41.33600;    1.12000;-2.1875e-005
  41.35500;    1.13000;-2.1354e-005
  41.37900;    1.14000;-2.0313e-005
  41.39700;    1.15000;-2.1875e-005
  41.41400;    1.16000;-2.1875e-005
  41.42800;    1.17000;-2.2396e-005
  41.45300;    1.18000;-2.2917e-005
  41.47400;    1.19000;-2.5521e-005
  41.48300;    1.20000;-2.5521e-005
  41.51000;    1.21000;-2.6042e-005
  41.53300;    1.22000;-2.6563e-005
  41.54300;    1.23000;-2.8125e-005
  41.56900;    1.24000;-2.6042e-005
  41.58200;    1.25000;-2.6042e-005
  41.60100;    1.26000;-2.6563e-005
  41.62500;    1.27000;-2.7083e-005
  41.64600;    1.28000;-2.8125e-005
  41.65800;    1.29000;-2.9688e-005
  41.67200;    1.30000;-3.1250e-005
  41.70800;    1.31000;-3.1771e-005
  41.72100;    1.32000;-3.1250e-005
  41.74000;    1.33000;-3.1771e-005
  41.75100;    1.34000;-3.0729e-005
  41.77300;    1.35000;-3.0729e-005
  41.79100;    1.36000;-3.2292e-005
  41.80900;    1.37000;-3.3333e-005
  41.82900;    1.38000;-3.3854e-005
  41.84800;    1.39000;-3.4375e-005
