#FILE:                 ;000398_K06_2_1350_Air-static.sle
#FORMAT:               ;NETZSCH5                        
#IDENTITY:             ;000398                          
#DECIMAL:              ;POINT                           
#SEPARATOR:            ;SEMICOLON                       
#MTYPE:                ;DIL                             
#MSUBTYPE:             ;                                
#INSTRUMENT:           ;NETZSCH DIL 402 C               
#PROJECT:              ;                                
#DATE/TIME:            ;24.06.2021 19:46:38             
#CORR. FILE:           ;                                
#LABORATORY:           ;НМ                              
#OPERATOR:             ;Орлов Н.                        
#REMARK:               ;                                
#SAMPLE:               ;K06_2                           
#SAMPLE LENGTH /mm:    ;2.780                           
#MATERIAL:             ;стандартный образец             
#MEASMODE:             ;Standard Expansion              
#PURGE GAS 1:          ;                                
#FLOW RATE 1 /(ml/min):;0                               
#CORR. CODE:           ;000                             
#RANGE:                ;40.0/2.0(K/мин)/1350.0          
#SEGMENT:              ;S1/1                            

##Temp./°C;Time/min;dL/Lo
  41.17500;0.0000e+000; 0.0000e+000
  41.17300;1.4167e-002; 0.0000e+000
  41.17200;2.8333e-002; 8.9928e-007
  41.17500;4.2500e-002; 1.3489e-006
  41.17600;5.6667e-002;-1.3489e-006
  41.17800;7.0833e-002;-8.9928e-007
  41.17900;8.5000e-002; 8.9928e-007
  41.17200;9.9167e-002; 1.3489e-006
  41.17100;    0.11333; 1.3489e-006
  41.17500;    0.12750; 8.9928e-007
  41.17100;    0.14167; 1.7986e-006
  41.17500;    0.15583;-1.3489e-006
  41.17300;    0.17000; 1.3489e-006
  41.16600;    0.18417; 0.0000e+000
  41.16800;    0.19833; 4.4964e-007
  41.17500;    0.21250; 1.7986e-006
  41.16600;    0.22667; 8.9928e-007
  41.16500;    0.24083; 1.7986e-006
  41.17200;    0.25500; 1.7986e-006
  41.17100;    0.26917; 8.9928e-007
  41.17600;    0.28333; 2.2482e-006
  41.16100;    0.29750; 1.3489e-006
  41.16500;    0.31167; 2.2482e-006
  41.16200;    0.32583; 2.6978e-006
  41.16800;    0.34000; 1.7986e-006
  41.16500;    0.35417; 8.9928e-007
  41.16900;    0.36833; 2.6978e-006
  41.16600;    0.38250; 8.9928e-007
  41.16400;    0.39667; 3.1475e-006
  41.17100;    0.41083; 2.6978e-006
  41.17600;    0.42500; 4.4964e-007
  41.17500;    0.43917; 3.5971e-006
  41.17500;    0.45333; 2.6978e-006
  41.17500;    0.46750; 3.5971e-006
  41.17900;    0.48167; 3.5971e-006
  41.17600;    0.49583; 2.2482e-006
  41.18200;    0.51000; 3.1475e-006
  41.18200;    0.52417; 3.1475e-006
  41.18300;    0.53833; 2.6978e-006
  41.19300;    0.55250; 2.2482e-006
  41.19300;    0.56667;-2.6978e-006
  41.19600;    0.58083; 3.1475e-006
  41.20100;    0.59500; 4.9460e-006
  41.20400;    0.60917; 4.4964e-006
  41.20500;    0.62333; 2.2482e-006
  41.20800;    0.63750; 4.0468e-006
  41.21500;    0.65167; 5.8453e-006
  41.21200;    0.66583; 4.9460e-006
  41.21200;    0.68000; 1.7986e-006
  41.21700;    0.69417; 4.0468e-006
  41.22200;    0.70833; 5.3957e-006
  41.22300;    0.72250; 4.9460e-006
  41.22500;    0.73667; 5.8453e-006
  41.23700;    0.75083; 6.2950e-006
  41.23000;    0.76500; 4.0468e-006
  41.23300;    0.77917; 4.0468e-006
  41.23400;    0.79333; 4.4964e-006
  41.24700;    0.80750; 4.4964e-006
  41.25000;    0.82167; 4.9460e-006
  41.26100;    0.83583; 4.0468e-006
  41.26500;    0.85000; 5.3957e-006
  41.27300;    0.86417; 3.1475e-006
  41.27200;    0.87833; 4.4964e-006
  41.27800;    0.89250; 4.9460e-006
  41.27800;    0.90667; 5.8453e-006
  41.28500;    0.92083; 4.4964e-006
  41.28500;    0.93500; 4.9460e-006
  41.29400;    0.94917; 5.8453e-006
  41.30500;    0.96333; 6.2950e-006
  41.30800;    0.97750; 4.4964e-006
  41.31200;    0.99167; 5.8453e-006
  41.31700;    1.00583; 3.5971e-006
  41.33000;    1.02000; 4.4964e-006
  41.33300;    1.03417; 4.9460e-006
  41.33700;    1.04833; 3.5971e-006
  41.35700;    1.06250; 4.9460e-006
  41.36100;    1.07667; 5.8453e-006
  41.37500;    1.09083; 4.4964e-006
  41.37800;    1.10500; 7.1942e-006
  41.38000;    1.11917; 4.9460e-006
  41.39200;    1.13333; 4.9460e-006
  41.40100;    1.14750; 4.0468e-006
  41.41400;    1.16167; 3.1475e-006
  41.42300;    1.17583; 5.8453e-006
