#FILE:                 ;000402_K06_10_1335_Air-static.sle
#FORMAT:               ;NETZSCH5                         
#IDENTITY:             ;000402                           
#DECIMAL:              ;POINT                            
#SEPARATOR:            ;SEMICOLON                        
#MTYPE:                ;DIL                              
#MSUBTYPE:             ;                                 
#INSTRUMENT:           ;NETZSCH DIL 402 C                
#PROJECT:              ;                                 
#DATE/TIME:            ;28.06.2021 11:45:13              
#CORR. FILE:           ;                                 
#LABORATORY:           ;НМ                               
#OPERATOR:             ;Орлов Н.                         
#REMARK:               ;                                 
#SAMPLE:               ;K06_10                           
#SAMPLE LENGTH /mm:    ;3.540                            
#MATERIAL:             ;стандартный образец              
#MEASMODE:             ;Standard Expansion               
#PURGE GAS 1:          ;                                 
#FLOW RATE 1 /(ml/min):;0                                
#CORR. CODE:           ;000                              
#RANGE:                ;40.0/10.0(K/мин)/1335.0          
#SEGMENT:              ;S1/1                             

##Temp./°C;Time/min;dL/Lo
  40.34100;0.0000e+000; 0.0000e+000
  40.34300;1.0000e-002;-7.0622e-007
  40.34000;2.0000e-002;-2.1186e-006
  40.34000;3.0000e-002;-7.0622e-007
  40.34500;4.0000e-002;-7.0622e-007
  40.34700;5.0000e-002;-3.5311e-006
  40.34600;6.0000e-002;-3.5311e-007
  40.34800;7.0000e-002;-3.5311e-007
  40.34700;8.0000e-002;-7.0622e-007
  40.34800;9.0000e-002; 0.0000e+000
  40.34800;    0.10000; 1.0593e-006
  40.35000;    0.11000; 0.0000e+000
  40.35500;    0.12000;-7.0622e-007
  40.35500;    0.13000;-7.0622e-007
  40.35300;    0.14000;-1.4124e-006
  40.35300;    0.15000;-7.0622e-007
  40.35700;    0.16000;-1.0593e-006
  40.36100;    0.17000;-2.1186e-006
  40.36600;    0.18000;-2.8249e-006
  40.36900;    0.19000;-3.8842e-006
  40.37100;    0.20000;-4.5904e-006
  40.37600;    0.21000;-2.4718e-006
  40.37600;    0.22000;-1.7655e-006
  40.37800;    0.23000;-1.4124e-006
  40.37900;    0.24000;-2.1186e-006
  40.38300;    0.25000;-2.1186e-006
  40.38700;    0.26000;-1.4124e-006
  40.38700;    0.27000;-3.1780e-006
  40.39300;    0.28000;-3.1780e-006
  40.39300;    0.29000;-3.5311e-006
  40.40600;    0.30000;-2.1186e-006
  40.40100;    0.31000;-2.4718e-006
  40.41300;    0.32000;-2.4718e-006
  40.41800;    0.33000;-2.1186e-006
  40.43100;    0.34000;-3.1780e-006
  40.43600;    0.35000;-2.1186e-006
  40.44000;    0.36000;-1.7655e-006
  40.45100;    0.37000;-1.7655e-006
  40.46200;    0.38000;-2.1186e-006
  40.46800;    0.39000;-1.4124e-006
  40.46800;    0.40000;-2.4718e-006
  40.48500;    0.41000;-2.1186e-006
  40.49700;    0.42000;-1.7655e-006
  40.51200;    0.43000;-2.8249e-006
  40.51900;    0.44000;-4.2373e-006
  40.52800;    0.45000;-4.5904e-006
  40.54600;    0.46000;-4.2373e-006
  40.55600;    0.47000;-3.5311e-006
  40.57500;    0.48000;-4.2373e-006
  40.59200;    0.49000;-2.4718e-006
  40.60200;    0.50000;-5.2966e-006
  40.61700;    0.51000;-5.6497e-006
  40.63200;    0.52000;-2.4718e-006
  40.65400;    0.53000;-4.2373e-006
  40.67300;    0.54000;-4.2373e-006
  40.69500;    0.55000;-4.9435e-006
  40.71700;    0.56000;-3.8842e-006
  40.73500;    0.57000;-3.8842e-006
  40.75500;    0.58000;-4.2373e-006
  40.77700;    0.59000;-3.5311e-006
  40.79900;    0.60000;-3.8842e-006
  40.82400;    0.61000;-3.8842e-006
  40.85500;    0.62000;-4.2373e-006
  40.88700;    0.63000;-5.6497e-006
  40.90800;    0.64000;-5.2966e-006
  40.92700;    0.65000;-4.5904e-006
  40.94900;    0.66000;-6.0028e-006
  40.97700;    0.67000;-6.3559e-006
  41.00200;    0.68000;-7.0622e-006
  41.03400;    0.69000;-8.1215e-006
  41.05900;    0.70000;-7.7684e-006
  41.09300;    0.71000;-8.4746e-006
  41.12100;    0.72000;-8.1215e-006
  41.14500;    0.73000;-9.5339e-006
  41.17600;    0.74000;-8.8277e-006
  41.20700;    0.75000;-9.8870e-006
  41.24600;    0.76000;-1.0593e-005
  41.27300;    0.77000;-1.0946e-005
  41.30800;    0.78000;-1.0593e-005
  41.34100;    0.79000;-1.0946e-005
  41.37100;    0.80000;-1.1653e-005
  41.40600;    0.81000;-1.2006e-005
  41.43500;    0.82000;-1.0946e-005
  41.47100;    0.83000;-1.2006e-005
  41.50700;    0.84000;-1.2359e-005
  41.52800;    0.85000;-1.2712e-005
  41.56500;    0.86000;-1.2359e-005
  41.60000;    0.87000;-1.3418e-005
  41.64000;    0.88000;-1.2712e-005
  41.67100;    0.89000;-1.3771e-005
  41.70500;    0.90000;-1.4831e-005
  41.73300;    0.91000;-1.4124e-005
  41.78300;    0.92000;-1.6243e-005
  41.81100;    0.93000;-1.5890e-005
  41.84300;    0.94000;-1.5537e-005
  41.87900;    0.95000;-1.6596e-005
  41.91500;    0.96000;-1.6243e-005
  41.94100;    0.97000;-1.9068e-005
  41.98300;    0.98000;-1.8715e-005
  42.01800;    0.99000;-1.8715e-005
  42.03900;    1.00000;-1.8362e-005
  42.08900;    1.01000;-1.8715e-005
  42.11700;    1.02000;-1.9068e-005
  42.15600;    1.03000;-1.9068e-005
  42.18300;    1.04000;-2.0127e-005
  42.22100;    1.05000;-2.0480e-005
  42.24900;    1.06000;-2.1186e-005
  42.29200;    1.07000;-2.1540e-005
  42.32400;    1.08000;-2.1893e-005
  42.36700;    1.09000;-2.2246e-005
  42.40000;    1.10000;-2.3305e-005
  42.43600;    1.11000;-2.4011e-005
  42.46900;    1.12000;-2.4364e-005
