Temperature, C	Time, min	dL/L0_corr
40.348	0.01	1.60053e-06
40.346	0.02	-1.10223e-06
40.344	0.03	-3.962499999999999e-07
40.346	0.04	-5.398699999999999e-07
40.346	0.05	2.1404300000000003e-06
40.351	0.06	4.1978e-06
40.354	0.07	1.8722699999999999e-06
40.355	0.08	2.6577999999999998e-06
40.358	0.09	3.962499999999999e-07
40.361	0.1	-3.208057e-06
40.364	0.11	8.0807e-07
40.366	0.12	9.516999999999999e-07
40.361	0.13	1.1178e-06
40.371	0.14	2.0079999999999984e-07
40.369	0.15	-6.4888e-07
40.368	0.16	6.644499999999999e-07
40.368	0.17	4.296470000000001e-06
40.372	0.18	2.907e-06
40.373	0.19	2.2581000000000005e-06
40.38	0.2	1.6160999999999999e-06
40.382	0.21	-6.0735e-07
40.387	0.22	5.7100000000000055e-08
40.39	0.23	-5.052e-07
40.393	0.24	1.1749000000000004e-06
40.399	0.25	-7.388e-07
40.399	0.26	-2.4829999999999998e-06
40.401	0.27	-1.1126000000000002e-06
40.4	0.28	1.8843000000000001e-06
40.406	0.29	-5.052e-07
40.408	0.3	1.55999999999999e-08
40.411	0.31	1.5485999999999995e-06
40.411	0.32	2.75987e-06
40.411	0.33	3.9417e-06
40.414	0.34	2.0079999999999984e-07
40.415	0.35	-4.52139e-06
40.42	0.36	8.046000000000001e-07
40.424	0.37	-3.500000000000051e-09
40.425	0.38	-6.298000000000001e-07
40.429	0.39	-1.9559999999999987e-07
40.429	0.4	1.973000000000002e-07
40.436	0.41	3.027999999999999e-07
40.442	0.42	1.9413999999999993e-06
40.44	0.43	5.259999999999997e-07
40.447	0.44	-6.141999999999996e-07
40.452	0.45	-4.6720000000000037e-07
40.462	0.46	6.991000000000002e-07
40.465	0.47	1.7528999999999998e-06
40.479	0.48	-2.2150000000000034e-07
40.485	0.49	1.2354999999999999e-06
40.494	0.5	1.2354999999999999e-06
40.499	0.51	2.564400000000001e-06
40.505	0.52	-1.4190000000000113e-07
40.511	0.53	1.2060000000000008e-06
40.515	0.54	6.506000000000002e-07
40.528	0.55	1.1265000000000001e-06
40.532	0.56	1.2734999999999998e-06
40.543	0.57	1.5452e-06
40.554	0.58	-8.478000000000006e-07
40.564	0.59	1.2961000000000002e-06
40.565	0.6	2.708e-06
40.569	0.61	3.765200000000001e-06
40.582	0.62	2.2512000000000006e-06
40.595	0.63	-9.94999999999999e-07
40.606	0.64	1.4967000000000013e-06
40.621	0.65	3.5507000000000006e-06
40.635	0.66	4.170000000000004e-07
40.642	0.67	2.1837e-06
40.65	0.68	2.7236000000000005e-06
40.654	0.69	4.486800000000001e-06
40.671	0.7	1.704400000000001e-06
40.689	0.71	3.966e-06
40.703	0.72	3.4261e-06
40.713	0.73	2.950200000000001e-06
40.717	0.74	2.5124999999999992e-06
40.735	0.75	2.7201000000000004e-06
40.745	0.76	-2.9191000000000014e-06
40.757	0.77	3.3175e-06
40.776	0.78	2.3614999999999993e-06
40.789	0.79	4.257000000000017e-07
40.796	0.8	2.214999999999995e-07
40.812	0.81	7.613999999999992e-07
40.839	0.82	8.443999999999999e-07
40.851	0.83	-7.269999999999847e-08
40.869	0.84	1.6300000000000013e-06
40.881	0.85	1.339000000000002e-06
40.897	0.86	1.3582e-06
40.909	0.87	3.914000000000002e-06
40.927	0.88	-7.480000000000003e-07
40.945	0.89	-1.6200000000000014e-06
40.963	0.9	4.530000000000006e-07
40.977	0.91	1.6650000000000002e-06
40.994	0.92	1.604000000000002e-06
41.018	0.93	3.0150000000000008e-06
41.03	0.94	1.4119999999999994e-06
41.044	0.95	1.3290000000000003e-06
41.062	0.96	-1.7000000000000007e-07
41.077	0.97	1.9869999999999998e-06
41.094	0.98	1.053e-06
41.114	0.99	-8.370000000000006e-07
41.123	1.0	-9.240000000000017e-07
41.139	1.01	-2.278999999999998e-06
41.159	1.02	-2.100999999999999e-06
41.176	1.03	-2.4360000000000017e-06
41.197	1.04	-1.1870000000000007e-06
41.218	1.05	-2.660000000000005e-07
41.232	1.06	2.9759999999999966e-06
41.255	1.07	3.367999999999999e-06
41.271	1.08	1.7689999999999995e-06
41.294	1.09	2.847999999999997e-06
41.305	1.1	1.7689999999999995e-06
41.323	1.11	7.499999999999843e-08
41.336	1.12	-1.9829999999999978e-06
41.355	1.13	2.2339999999999993e-06
41.379	1.14	2.5689999999999986e-06
41.397	1.15	-3.6300000000000313e-07
41.414	1.16	1.339000000000002e-06
41.428	1.17	9.00999999999997e-07
41.453	1.18	-1.0319999999999962e-06
41.474	1.19	-3.3029999999999953e-06
41.483	1.2	1.5970000000000018e-06
41.51	1.21	5.780000000000002e-07
41.533	1.22	-1.3549999999999997e-06
41.543	1.23	-2.959e-06
41.569	1.24	-1.0839999999999984e-06
41.582	1.25	5.780000000000002e-07
41.601	1.26	-3.170000000000039e-07
41.625	1.27	-1.7299999999999987e-07
41.646	1.28	1.3190000000000021e-06
41.658	1.29	-1.1580000000000014e-06
41.672	1.3	4.3600000000000057e-07
41.708	1.31	-3.3400000000000053e-07
41.721	1.32	-1.267e-06
41.74	1.33	-2.6599999999999982e-06
41.751	1.34	-9.53000000000006e-07
41.773	1.35	-7.870000000000045e-07
41.791	1.36	-1.0799999999999287e-07
41.809	1.37	-7.330000000000013e-07
41.829	1.38	1.030000000000002e-06
41.848	1.39	-1.1519999999999985e-06
41.861	1.4	-2.361e-06
41.887	1.41	-4.027999999999996e-06
41.9	1.42	-2.1140000000000004e-06
41.918	1.43	-1.0960000000000044e-06
41.936	1.44	5.81e-07
41.962	1.45	-2.9109999999999997e-06
41.975	1.46	-9.549999999999934e-07
41.998	1.47	8.309999999999993e-07
42.012	1.48	-2.1860000000000024e-06
42.03	1.49	-2.1059999999999964e-06
42.055	1.5	-4.090999999999999e-06
42.071	1.51	-2.8190000000000013e-06
42.089	1.52	-6.370000000000008e-07
42.11	1.53	-3.0499999999999793e-07
42.128	1.54	-3.079000000000009e-06
42.142	1.55	-2.784000000000006e-06
42.165	1.56	-1.560999999999994e-06
42.185	1.57	-2.909000000000002e-06
42.205	1.58	-1.0659999999999996e-06
42.224	1.59	-9.819999999999984e-07
42.237	1.6	-2.874e-06
42.262	1.61	-1.3180000000000033e-06
42.281	1.62	-1.2010000000000043e-06
42.288	1.63	-2.9670000000000006e-06
42.31	1.64	-1.8730000000000005e-06
42.331	1.65	-3.5099999999999715e-07
42.357	1.66	-1.6800000000000042e-06
42.377	1.67	1.0600000000000203e-07
42.39	1.68	-1.2339999999999953e-06
42.414	1.69	-2.1059999999999897e-06
42.43	1.7	-3.2909999999999995e-06
42.452	1.71	-4.66999999999994e-07
42.468	1.72	-2.9209999999999946e-06
42.494	1.73	-1.8830000000000021e-06
42.522	1.74	-2.8219999999999943e-06
42.535	1.75	-1.160999999999991e-06
42.554	1.76	-1.1870000000000007e-06
42.566	1.77	-2.7239999999999963e-06
42.584	1.78	-2.021e-06
42.608	1.79	-1.3789999999999948e-06
42.629	1.8	-2.606000000000002e-06
42.654	1.81	-4.353999999999999e-06
42.668	1.82	-5.124000000000007e-06
42.681	1.83	-4.858999999999995e-06
42.703	1.84	-4.175e-06
42.734	1.85	-7.5309999999999996e-06
42.754	1.86	-6.114999999999998e-06
42.774	1.87	-2.7099999999999927e-06
42.792	1.88	-5.685000000000011e-06
42.818	1.89	-5.416000000000004e-06
42.835	1.9	-5.880000000000005e-06
42.853	1.91	-3.0069999999999934e-06
42.88	1.92	-2.8819999999999904e-06
42.905	1.93	-3.7359999999999927e-06
42.926	1.94	-4.532000000000003e-06
42.942	1.95	-5.094000000000002e-06
42.963	1.96	-3.369000000000001e-06
42.989	1.97	6.330000000000056e-07
43.016	1.98	-1.5900000000000034e-06
43.034	1.99	-3.020999999999997e-06
43.048	2.0	-3.821000000000003e-06
43.064	2.01	-6.070000000000001e-06
43.082	2.02	-4.342000000000007e-06
43.114	2.03	-2.9709999999999958e-06
43.135	2.04	-3.2840000000000045e-06
43.153	2.05	-6.163000000000002e-06
